productcode,productname,relatedcategoryid,categoryname,subcategoryname,subsubcategoryname,productdescription,fob,furtherdescription,defaultimagename,Size,Colors,Imprint,Imprint Method 1,Imprint Method 2,Weight,Lead Time,Rush Lead Time,Imprint Area,Packaging,Run Charge,Setup Charge,Set-up Charge,Additional Colors/Positions,Additional Colors,Additional Positions,Carton Weight (Lbs),Carton Width,Carton Height,Carton Length,Units Per Carton,pricename_1,quantity1_1,price1_1,discountcode1_1,quantity2_1,price2_1,discountcode2_1,quantity3_1,price3_1,discountcode3_1,quantity4_1,price4_1,discountcode4_1,quantity5_1,price5_1,discountcode5_1,quantity6_1,price6_1,discountcode6_1
181,Credit Card Magnifier with Case,113,Magnifiers,Magnifiers,Magnifiers,"Case is Made in USA. Fresnel lenses feature 3x magnification and work best when held by hand 2"" to 3"" from subject. *Rides free in most mailings.",48867 | Owosso | MI,,181.jpg,"Case: 3 5/8"" W x 2 1/4"" H, Lens: 3 1/4"" W x 2"" H","Vinyl Case Colors - Black, navy blue, frosted, red, silver or white.","Price includes a one color, one position imprint on the case. An imprint on the lens only is considered a second position imprint. Add $.25 (G) each for the imprint on the lens and reinserting labor plus set-up charge.",Silkscreen,,250 pieces = 4 lbs.,"3 working days without paper proof, 5 working days with paper proof.",24 Hour Rush available without paper proof up to 1000 pieces. Complete order and useable art must be received by 11:00 a.m. CST and marked Next Day order. Add 20%.,"Case: 3"" W x 1 1/2"" H, Lens: 3"" W x 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,4,6,6,6,250,Standard,250,0.75,C,500,0.69,C,1000,0.66,C,2500,0.64,C,,,,,,
DIW,Diva Wrap Metal Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Silver frame with indoor/outdoor lens. A wrap with attitude! 100% UV protected.,56301 | Saint Cloud | MN,,DIW.jpg,,Clear,"Price includes one color, one location imprint.",Silkscreen,,12 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,12,17,11,6,100,DIW,100,4.99,C,250,4.69,C,500,4.39,C,1000,4.09,C,,,,,,
DW,Driver Wrap Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Matte Black frame with Amber driving lens. 17M case included. 100% UV protected.,56301 | Saint Cloud | MN,,DW.jpg,,Black frame / Amber lens,"Price includes one color, one location imprint.",Silkscreen,,9 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,9,17,11,6,100,DW,100,5.99,C,250,5.59,C,500,5.19,C,1000,4.89,C,,,,,,
MAV,Maverick Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Gold aviator style frame with Smoke lens. 100% UV protected.,56301 | Saint Cloud | MN,,MAV.jpg,,Gold frame / Smoke lens,"Price includes one color, one location imprint.",Silkscreen,,13 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,13,14,14,9,100,MAV,50,11.09,C,100,10.72,C,250,10.51,C,500,10.35,C,,,,,,
PRO-AV,PRO-AV Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Black metal aviator. 100% UV protected.,56301 | Saint Cloud | MN,,PRO-AV.jpg,,Black frame,"Price includes one color, one location imprint.",Silkscreen,,7 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,7,17,11,6,100,PRO-AV,100,5.2,C,250,4.67,C,500,4.2,C,1000,3.99,C,,,,,,
SCAVENGER,Scavenger Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Maroon metal frame with Gray lens. 17M case included. 100% UV protected.,56301 | Saint Cloud | MN,,SCAVENGER.jpg,,Maroon,"Price includes one color, one location imprint.",Silkscreen,,8 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,8,17,11,6,100,SCAVENGER,50,6.49,C,100,6.09,C,250,5.49,C,500,4.99,C,,,,,,
WALLSTREET,Wallstreet Sunglass,75,Sunglasses,Sunglasses,Metal Frames,Rimless gun metal frame with spring loaded temples and gray lens. 17M case included. 100% UV protected.,56301 | Saint Cloud | MN,,WALLSTREET.jpg,,Gun Metal frame / Gray lens,"Price includes one color, one location imprint.",Silkscreen,,10 lbs. per 100 units,"3 working days without paper proof, 5 working days with paper proof.",,"Lens: 3/4"" W x 1/8"" H",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,10,14,14,9,100,WALLSTREET,50,10.19,C,100,9.69,C,250,8.99,C,500,8.49,C,,,,,,
DOVER,Dover Metal Pen,54,Pens,Pens,Metal Pens,"Slim metallic aluminum barrel with Black gripper and matte Silver accents. Features medium point, German ink and Swiss nib. Engraved in matte Silver or Screen printed.",48867 | Owosso | MI,,DOVER.jpg,"5-3/8"" L","Red, Green, Black, Blue","Price includes one color, one location imprint.",Silkscreen,,12 lbs. per 150 units,"3 working days without paper proof, 5 working days with paper proof.",,"1/4"" x 2"" on barrel",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,12,10,8,6,150,DOVER,150,1.59,C,250,1.39,C,500,1.19,C,1000,1.11,C,,,,,,
MUNICH,Munich Metal Pen,54,Pens,Pens,Metal Pens,"Rubber lacquer coated brass pen with matt Silver accents. Features medium point, German ink and Swiss nib. Engraved in shiny chrome or Screen printed. Velour pouch included.",48867 | Owosso | MI,,MUNICH.jpg,"5-1/2"" L","Black, Navy Blue","Price includes one color, one location imprint.",Silkscreen,,14 lbs. per 150 units,"3 working days without paper proof, 5 working days with paper proof.",,"1/4"" x 1"" on barrel or cap",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,14,17,11,14,150,MUNICH,150,4.99,C,250,4.79,C,500,4.69,C,1000,4.49,C,,,,,,
VITORIA,Vitoria Metal Pen,54,Pens,Pens,Metal Pens,"Sleek aluminum metallic barrel with mock shiny chrome accents. Features medium point, German ink and Swiss nib. Engraved in matte Silver or Screen printed.",48867 | Owosso | MI,,VITORIA.jpg,"5-1/4"" L","Black, Blue, Red","Price includes one color, one location imprint.",Silkscreen,,11 lbs. per 150 units,"3 working days without paper proof, 5 working days with paper proof.",,"3/16"" x 2"" on barrel",,"On additional colors or locations, if accepted, add $.31(G).",,$50.00 (G) per color/position. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).,,,,11,10,8,6,150,VITORIA,150,1.79,C,250,1.59,C,500,1.49,C,1000,1.29,C,,,,,,
1141,Quantum Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Silver. Black oxidation required on silver pen only.,1141.jpg,"5 1/2"" L",Blue with silver trim and blue grip or silver with silver trim and black grip.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 9 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 1 1/2"" W x 5/16"" H, Laser Engraved: 1 1/4"" W x 1/4"" H",,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,9,10,8,6,150,Standard,150,1.95,C,250,1.91,C,500,1.82,C,1000,1.72,C,,,,,,
1142,Harbor Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Silver. Black oxidation required on silver pen only.,1142.jpg,"5 3/8"" L",Silver or blue with silver trim.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 10 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 2"" W x 1/2"" H, Laser Engraved: 2"" W x 1/4"" H",,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,10,10,8,6,150,Standard,150,1.64,C,250,1.54,C,500,1.45,C,1000,1.39,C,,,,,,
1144,Derby Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Silver. Black oxidation not available on silver pen.,1144.jpg,"5 1/4"" L",Blue or silver with silver trim.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 8 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 2 1/2"" W x 3/4"" H, Laser Engraved: 2 1/2"" W x 1/4"" H",,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,8,10,6,6,150,Standard,150,1.9,C,250,1.83,C,500,1.77,C,1000,1.71,C,,,,,,
1146,Phantom Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify. Features blue ink refill.,48867 | Owosso | MI,Engraving Color: Gold,1146.jpg,"5 1/2"" L",Blue with silver trim and blue grip.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 11 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 1"" W x 5/16"" H, Laser Engraved: 1"" W x 1/4"" H",,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,11,10,6,6,150,Standard,150,2.49,C,250,2.34,C,500,2.14,C,1000,1.98,C,,,,,,
1149,Sterling Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Gold,1149.jpg,"5 7/16"" L",Maroon or blue with gold trim.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 11 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 2"" W x 3/4"" H, Laser Engraved: 2"" W x 1/4"" H",,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,11,12,6,6,150,Standard,150,1.86,C,250,1.82,C,500,1.78,C,1000,1.64,C,,,,,,
1150,Metal Pen with Carabiner,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify. Metal pen with soft grip and carabiner hook for convenience.,48867 | Owosso | MI,Engraving Color: Silver. Black oxidation required on silver pen only. Imprint not available on carabiner.,1150.jpg,"Pen: 4"" L, Carabiner: 2"" L","Blue, red or silver with silver trim and black grip.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,250 pieces = 15 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Pen: 1"" W x 1/4"" H, Laser Engraved: Pen: 1"" W x 1/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each. (Subject to review and approval of artwork by the factory),,,15,12,10,7,250,Standard,150,1.74,C,250,1.69,C,500,1.59,C,1000,1.49,C,,,,,,
1154,Lighted Grip Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify. Click the plunger to activate light in the rubber frosted grip.,48867 | Owosso | MI,Engraving color may vary due to product and underlayment color. Engraving Color: Silver,1154.jpg,"Pen: 5 5/8"" L",Blue with blue light and silver trim.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,250 pieces = 16 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 1 3/4"" W x 3/4"" H, Laser Engraved: 1 3/4"" W x 1/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,16,12,10,7,250,Standard,150,2.89,C,250,2.79,C,500,2.69,C,1000,2.19,C,,,,,,
1164,Cantina Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Silver,1164.jpg,"5 1/2"" L","Black, blue, red or silver with chrome trim.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 9 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 1 1/2"" W x 5/8"" H, Laser Engraved: 1 1/2"" W x 3/16"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,9,10,8,6,150,Standard,150,1.46,C,250,1.39,C,500,1.33,C,1000,1.26,C,,,,,,
1206,Helicopter Pen,54,Pens,Pens,Metal Pens,Screened Imprint on base or Laser Engraved on pen. Please specify. Triangular shaped base with magnet to hold pen.,48867 | Owosso | MI,Engraving color may vary due to product and underlayment color. Black oxidation required.,1206.jpg,"Pen: 5 5/8"" L, Base: 2 3/8"" W x 1 3/4"" H",Blue base with chrome pen or matte silver base and pen.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,50 pieces = 21 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Base: 1 1/4"" Diameter, Laser Engraved: Pen: Barrel: 1 3/4"" W x 1/4"" H, Cap: 1 1/4"" W x 1/4"" H",Individually boxed,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.40 (G) each. (Subject to review and approval of artwork by the factory),,,21,20,14,10,50,Standard,100,4.54,C,150,4.27,C,250,3.99,C,500,3.79,C,,,,,,
1207,Floating Pen with Round Base,54,Pens,Pens,Metal Pens,Screened Imprint on base or Laser Engraved on Chrome pen. Screened Imprint on blue or black pen or base. Please specify.,48867 | Owosso | MI,Engraving color may vary due to product and underlayment color. Black oxidation required. Laser Engraving only available on chrome pen.,1207.jpg,"Pen: 4 5/8"" L, Base: 1 7/8"" Diameter","Black, blue or chrome.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,50 pieces = 19 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Base: 7/8"" W x 3/8"" H , Pen: 1"" W x 5/16"" H. Laser Engraved: Pen: 1"" W x 5/16"" H.",Individually boxed,Oxidation: Add $.31 (G) each.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.40 (G) each. (Subject to review and approval of artwork by the factory),,,19,18,19,7,50,Standard,100,4.09,C,150,3.89,C,250,3.59,C,500,3.49,C,,,,,,
1223,Diamond Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Gold,1223.jpg,"5 3/8"" L",Blue with gold trim and black grip.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 10 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 2 1/4"" W x 3/4"" H, Laser Engraved: 2 1/4"" W x 1/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,10,7,6,8,150,Standard,150,1.84,C,250,1.79,C,500,1.73,C,1000,1.62,C,,,,,,
1259,Roosevelt Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Gold,1259.jpg,"5 3/8"" L",Black or silver with chrome trim.,"Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 11 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Barrel: 1 1/2"" W x 3/4"" H, Cap: 1"" W x 3/4"" H, Laser Engraved: Barrel: 1 1/2"" W x 1/4"" H, Cap: 1"" W x 1/4"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,11,10,6,6,150,Standard,150,2.05,C,250,1.99,C,500,1.89,C,1000,1.79,C,,,,,,
1277,Soft Grip Metal Pen with Carabiner,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify. Metal pen with soft grip and carabiner for convenience.,48867 | Owosso | MI,Engraving color may vary due to product and underlayment color.,1277.jpg,"Pen: 4"" L, Carabiner: 2 1/4"" L","Black, blue, red, green or silver with silver trim and black grip.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,250 pieces = 19 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Pen: 1"" W x 5/16"" H, Carabiner: 1 3/8"" W x 1/8"" H, Laser Engraved: Pen: 1"" W x 1/4"" H, Carabiner: 1 3/8"" W x 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each. (Subject to review and approval of artwork by the factory),,,19,12,10,10,250,Standard,150,1.71,C,250,1.58,C,500,1.43,C,1000,1.36,C,,,,,,
1284,Soft Grip Metal Pen with Carabiner and Retractor,54,Pens,Pens,Metal Pens,"Screened Imprint or Laser Engraved. Please specify. Metal pen with soft grip and silver retractor with 18"" retractable cord.",48867 | Owosso | MI,Due to the irregularities in the eco-material imperfections may occur in the imprint.,1284.jpg,"Pen: 4"" L , Carabiner: 2 1/4"" L, Retractor: 1"" Diameter","Black or blue with silver trim, black grip and silver retractor.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 7 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: Pen: 1"" W x 5/16"" H, Carabiner: 1 1/4"" W x 1/8"" H, Retractor: 1/2"" Diameter, Laser Engraved: Pen: 1"" W x 1/4"" H, Carabiner: 1 1/4"" W x 1/8"" H",,,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each. (Subject to review and approval of artwork by the factory),,,7,12,10,8,150,Standard,150,2.79,C,250,2.69,C,500,2.54,C,1000,2.27,C,,,,,,
1163,Wolverine Metal Pen,54,Pens,Pens,Metal Pens,Screened Imprint or Laser Engraved. Please specify.,48867 | Owosso | MI,Engraving Color: Silver. Black oxidation is not available on silver pen only.,1163.jpg,"5 1/2"" L","Black, blue, green, red or silver with chrome trim.","Price includes a one color, one position screened imprint or one position laser engraved. Please specify.",Silkscreen,Laser,150 pieces = 8 lbs.,"3 working days without paper proof, 5 working days with paper proof.",,"Screened: 1 3/4"" W x 5/8"" H. Laser Engraved: 1 3/4"" W x 1/4"" H.",,Oxidation: Add $.31 (G)each. Black oxidation is not available on silver pen.,,"$50.00 (G) per color/position, copy or logo. Repeat Orders: First set-up FREE. Additional set-ups are $20.00 (G).",Add $.31 (G) each.,,,8,10,8,6,150,Standard,150,1.48,C,250,1.39,C,500,1.35,C,1000,1.32,C,,,,,,
